role,resource,action,permission,scope
admin,all,all,allow,organization
supervisor,task,validate,allow,department
supervisor,evidence,review,allow,department
supervisor,report,generate,allow,department
supervisor,threshold,view,allow,department
technician,task,register,allow,own
technician,task,view,allow,own
technician,evidence,upload,allow,own
technician,evidence,view,allow,own
technician,task,validate,deny,own
technician,threshold,adjust,deny,own
individual_user,plan,configure,allow,own
individual_user,threshold,adjust,allow,own
individual_user,task,select,allow,own
individual_user,evidence,upload,allow,own
individual_user,report,view,allow,own
company_user,plan,view,allow,own
company_user,task,view,allow,own
company_user,threshold,adjust,deny,own
company_user,threshold,view,allow,own
company_user,evidence,upload,allow,own
company_admin,plan,configure,allow,organization
company_admin,threshold,adjust,allow,organization
company_admin,task,select,allow,organization
company_admin,user,manage,allow,organization
company_admin,report,generate,allow,organization
auditor,all,view,allow,organization
auditor,report,generate,allow,organization
auditor,evidence,review,allow,organization
auditor,task,validate,deny,organization
guest,task,view,allow,public
guest,all,modify,deny,public
